Crop,State,Direct Cultivation Cost (Hectare),Total Cultivation Cost (Hectare),Extra Cultivation Cost(Hector),Cost of Production (Quintal) ,Yield (Quintal/ Hectare) ,Yield Efficiency,Yield Efficiency Category
ARHAR,Uttar Pradesh,9794.05,23076.74,13282.69,1941.55,9.83,0.425970046,Low
ARHAR,Karnataka,10593.15,16528.68,5935.53,2172.46,7.47,0.451941716,Low
ARHAR,Gujarat,13468.82,19551.9,6083.08,1898.3,9.59,0.490489415,Low
ARHAR,Andhra Pradesh,17051.66,24171.65,7119.99,3670.54,6.42,0.265600404,Low
ARHAR,Maharashtra,17130.55,25270.26,8139.71,2775.8,8.72,0.345069659,Low
COTTON,Maharashtra,23711.44,33116.82,9405.38,2539.47,12.69,0.383188966,Low
COTTON,Punjab,29047.1,50828.83,21781.73,2003.76,24.39,0.479845788,Low
COTTON,Andhra Pradesh,29140.77,44756.72,15615.95,2509.99,17.83,0.398375931,Low
COTTON,Gujarat,29616.09,42070.44,12454.35,2179.26,19.05,0.452811998,Low
COTTON,Haryana,29918.97,44018.18,14099.21,2127.35,19.9,0.452085934,Low
GRAM,Rajasthan,8552.69,12610.85,4058.16,1691.66,6.83,0.541597117,Low
GRAM,Madhya Pradesh,9803.89,16873.17,7069.28,1551.94,10.29,0.609843912,Low
GRAM,Uttar Pradesh,12833.04,21618.43,8785.39,1882.68,10.93,0.505587131,Low
GRAM,Maharashtra,12985.95,18679.33,5693.38,2277.68,8.05,0.430957641,Low
GRAM,Andhra Pradesh,14421.98,26762.09,12340.11,1559.04,16.69,0.62364337,Low
GROUNDNUT,Karnataka,13647.1,17314.2,3667.1,3484.01,4.71,0.27203105,Low
GROUNDNUT,Andhra Pradesh,21229.01,30434.61,9205.6,2554.91,11.97,0.393302231,Low
GROUNDNUT,Tamil Nadu,22507.86,30393.66,7885.8,2358,11.98,0.394161151,Low
GROUNDNUT,Gujarat,22951.28,30114.45,7163.17,1918.92,13.45,0.446629442,Low
GROUNDNUT,Maharashtra,26078.66,32683.46,6604.8,3207.35,9.33,0.285465492,Low
MAIZE,Bihar,13513.92,19857.7,6343.78,404.43,42.95,2.162888955,Medium
MAIZE,Karnataka,13792.85,20671.54,6878.69,581.69,31.1,1.504483943,Medium
MAIZE,Rajasthan,14421.46,19810.29,5388.83,658.77,23.56,1.189280924,Medium
MAIZE,Uttar Pradesh,15635.43,21045.11,5409.68,1387.36,13.7,0.65098258,Low
MAIZE,Andhra Pradesh,25687.09,37801.85,12114.76,840.58,42.68,1.129045272,Medium
MOONG,Orissa,5483.54,8266.98,2783.44,2614.14,3.01,0.364099103,Low
MOONG,Rajasthan,6204.23,9165.59,2961.36,2068.67,4.05,0.441870081,Low
MOONG,Karnataka,6440.64,7868.64,1428,5777.48,1.32,0.167754529,Low
MOONG,Andhra Pradesh,6684.18,13209.32,6525.14,2228.97,5.9,0.446654332,Low
MOONG,Maharashtra,10780.76,15371.45,4590.69,2261.24,6.7,0.435872998,Low
PADDY,Uttar Pradesh,17022,28144.5,11122.5,732.62,36.61,1.30078701,Medium
PADDY,Orissa,17478.05,25909.05,8431,715.04,32.42,1.251300221,Medium
PADDY,West Bengal,24731.06,33046.12,8315.06,731.25,39.04,1.181379236,Medium
PADDY,Punjab,25154.75,45291.24,20136.49,669.86,67.41,1.488367287,Medium
PADDY,Andhra Pradesh,29664.84,46450.2,16785.36,789.9,56,1.205592226,Medium
RAPESEED AND MUSTARD,Madhya Pradesh,8686.43,17705.93,9019.5,1279.6,12.94,0.730828598,Low
RAPESEED AND MUSTARD,Rajasthan,11385.7,19259.84,7874.14,1341.29,13.54,0.703017263,Low
RAPESEED AND MUSTARD,Uttar Pradesh,12774.41,22560.3,9785.89,1595.56,13.57,0.601499094,Low
RAPESEED AND MUSTARD,Gujarat,13740.64,19083.55,5342.91,1610.4,11.61,0.608377372,Low
RAPESEED AND MUSTARD,Haryana,14715.27,27507.54,12792.27,1251.12,19.94,0.724892157,Low
SUGARCANE,Uttar Pradesh,24538.32,45239.51,20701.19,93.64,448.89,9.922521265,High
SUGARCANE,Karnataka,55655.44,86765.77,31110.33,86.53,986.21,11.36634873,High
SUGARCANE,Andhra Pradesh,56621.16,91442.63,34821.47,119.72,757.92,8.288475517,High
SUGARCANE,Maharashtra,57673.6,85801.95,28128.35,107.56,744.01,8.671248148,High
SUGARCANE,Tamil Nadu,66335.06,89025.27,22690.21,85.79,1015.45,11.40631194,High
WHEAT,Madhya Pradesh,12464.4,22489.75,10025.35,810.25,23.59,1.048922287,Medium
WHEAT,Punjab,17945.58,35423.48,17477.9,804.8,39.83,1.124395457,Medium
WHEAT,Uttar Pradesh,18979.38,31902.74,12923.36,769.84,34.99,1.096770998,Medium
WHEAT,Rajasthan,19119.08,29876.36,10757.28,683.58,37.19,1.24479689,Medium
